School District,School,County,Type of Organization,Number of Outlets,Any Buildings with Lead-Free Plumbing?,Previously Sampled Outlets,Outlets Waiver Requested,Waivers Granted,Outlets Sampled After Regulation,Sampling Complete,Sampling Completion Date,"Number of Outlets, Result ≤ 15 ppb","Number of Outlets, Result > 15 ppb",Out of Service,All Results Received	,Date All Results Received,School Website	,BEDS Code,School Street ,School City,School State,School Zip Code,Date Sampling Updated,Date Results Updated,County Location,Location
NYC DOE,Q431,Queens,Public School,8,No,0,0,0,8,Yes,02/15/2017,8,0,No,Yes,02/23/2017,No website for building,Q431,58-20 UTOPIA PARKWAY,Queens,NY,11365,02/27/2017,02/27/2017,"(40.749338, -73.789673)","58-20 UTOPIA PARKWAY
Queens, NY 11365
(40.74056831200005, -73.79287415199997)"
ROCHESTER CITY SCHOOLS,SCHOOL 68 JOSEPH C WILSON MAGNET FOUNDATION ACADEMY,Monroe,Public School,90,No,47,0,0,43,Yes,12/19/2016,89,1,Yes,Yes,12/22/2016,rcsdk12.org,261600010068,200 GENESEE STREET,ROCHESTER,NY,14611,01/03/2017,01/03/2017,"(43.161748, -77.620143)","200 GENESEE STREET
ROCHESTER, NY 14611
(43.14651105000007, -77.63602238299995)"
QUOGUE UNION FREE SCHOOL,QUOGUE ES,Suffolk,Public School,31,No,7,0,0,24,Yes,09/29/2016,30,1,Yes,Yes,09/29/2016,http://teacherweb.com/NY/Quogue/schoolhomepage/sdhp1.aspx,580903020001,10 EDGEWOOD RD,QUOGUE,NY,11959,12/05/2016,12/05/2016,"(40.820237, -73.119032)","10 EDGEWOOD RD
QUOGUE, NY 11959
(40.82100326700004, -72.60480451899997)"
PHELPS-CLIFTON SPRINGS CENTRAL SCHOOL,MIDLAKES INTERMEDIATE SCHOOL,Ontario,Public School,109,This school has one or more lead-free buildings,77,0,0,52,Yes,09/16/2016,109,0,Yes,Yes,09/20/2016,www.midlakes.org,431301060003,1510 STATE ROUTE 488,CLIFTON SPRINGS,NY,14432,11/04/2016,11/04/2016,"(42.894571, -77.252045)","1510 STATE ROUTE 488
CLIFTON SPRINGS, NY 14432
(42.957189681000045, -77.09572764499995)"
OSWEGO CITY SCHOOLS,CHARLES E RILEY ELEM SCHOOL,Oswego,Public School,86,No,26,0,0,60,Yes,09/30/2016,70,16,Yes,Yes,10/20/2016,http://www.oswego.org/,461300010002,BUNNER ST,OSWEGO,NY,13126,11/11/2016,11/11/2016,"(43.39123, -76.31133)","BUNNER ST
OSWEGO, NY 13126
(43.449927211000045, -76.49232825999997)"
PLEASANTVILLE U F S,BEDFORD ROAD SCHOOL,Westchester,Public School,99,No,12,0,0,87,Yes,10/22/2016,98,1,Yes,Yes,11/10/2016,pleasantvilleschools.com,660809030002,289 BEDFORD RD,PLEASANTVILLE,NY,10570,11/30/2016,11/30/2016,"(41.039278, -73.805386)","289 BEDFORD RD
PLEASANTVILLE, NY 10570
(41.13730945000003, -73.78359647399998)"
PORTVILLE CENTRAL SCHOOL DISTRICT,PORTVILLE ES,Cattaraugus,Public School,96,No,0,0,0,96,Yes,09/15/2016,87,9,Yes,Yes,09/27/2016,www.portvillecsd.org,042901040001,ELM ST,PORTVILLE,NY,14770,10/05/2018,10/26/2016,"(42.224267, -78.606673)","ELM ST
PORTVILLE, NY 14770
(42.03384018400004, -78.33453131899995)"
OCEANSIDE UNION FREE SCHOOL,WALTER S BOARDMAN J H S,Nassau,Public School,55,No,33,0,0,22,Yes,05/13/2017,55,0,Yes,Yes,06/19/2017,Http://oceansideschools.org,280211030009,170 BEATRICE AVE,OCEANSIDE,NY,11572,10/12/2018,10/12/2018,"(40.715749, -73.601185)","170 BEATRICE AVE
OCEANSIDE, NY 11572
(40.62297834900005, -73.63103627399994)"
PAWLING CENTRAL SCHOOL DISTRICT,PAWLING HS,Dutchess,Public School,7,No,0,0,0,7,Yes,10/01/2016,7,0,Yes,Yes,04/17/2017,http://www.pawlingschools.org/news.cfm?story=178444&school=0,131201040002,RESERVOIR RD,PAWLING,NY,12564,09/27/2018,09/28/2018,"(41.686216, -73.840468)","RESERVOIR RD
PAWLING, NY 12564
(41.57702407100004, -73.57396940199999)"
OCEANSIDE UNION FREE SCHOOL,BOARDMAN ELEM SCHOOL,Nassau,Public School,14,No,10,0,0,4,Yes,05/13/2017,14,0,Yes,Yes,06/19/2017,http://oceansideschools.org,280211030007,170 BEATRICE AVE,OCEANSIDE,NY,11572,10/12/2018,10/12/2018,"(40.715749, -73.601185)","170 BEATRICE AVE
OCEANSIDE, NY 11572
(40.62297834900005, -73.63103627399994)"
NYC DOE,R029,Richmond,Public School,71,No,0,0,0,71,Yes,01/24/2017,67,4,Yes,Yes,02/07/2017,http://schools.nyc.gov/SchoolPortals/31/R029/default.htm,R029,1581 VICTORY BOULEVARD,Staten Island,NY,10314,02/08/2017,02/08/2017,"(40.566763, -74.148102)","1581 VICTORY BOULEVARD
Staten Island, NY 10314
(40.61361742400004, -74.11587233999995)"
PATCHOGUE-MEDFORD U F SCH,CANAAN ELEM SCHOOL,Suffolk,Public School,35,No,24,0,0,11,Yes,03/09/2017,35,0,Yes,Yes,04/06/2017,www.pmschools.org,580224030010,59 FRY BLVD,PATCHOGUE,NY,11772,10/12/2018,10/12/2018,"(40.820237, -73.119032)","59 FRY BLVD
PATCHOGUE, NY 11772
(40.78528975900008, -73.02502208299995)"
SPENCER VAN ETTEN CENTRAL SCHOOL,SPENCER VAN ETTEN MIDDLE SCHOOL,Tioga,Public School,83,No,0,0,0,83,Yes,10/14/2016,81,2,Yes,Yes,01/03/2017,www.svecsd.org,600801040001,1 CENTER ST,SPENCER,NY,14883,07/28/2017,07/28/2017,"(42.120252, -76.29595)","1 CENTER ST
SPENCER, NY 14883
(42.21373709800008, -76.49255133599996)"
PINE BUSH CENTRAL SCHOOL,E J RUSSELL ELEM SCHOOL,Orange,Public School,112,No,0,0,0,112,Yes,03/29/2018,112,0,Yes,Yes,04/17/2018,pinebushschools.org,440401060001,78 HOLLAND AVE,PINE BUSH,NY,12566,10/10/2018,10/10/2018,"(41.422459, -74.241929)","78 HOLLAND AVE
PINE BUSH, NY 12566
(41.605939084000056, -74.30174435899994)"
SACHEM CENT SCH AT HOLBROOK,GATELOT AVENUE SCHOOL,Suffolk,Public School,59,No,58,0,0,1,Yes,01/31/2017,59,0,Yes,Yes,06/01/2017,www.sachem.edu,580205060001,65 GATELOT AVE,LAKE RONKONKOMA,NY,11779,10/11/2018,10/11/2018,"(40.820237, -73.119032)","65 GATELOT AVE
LAKE RONKONKOMA, NY 11779
(40.83281470500003, -73.10582474499995)"
SAUGERTIES CENTRAL SCHOOL,MT MARION ELEMENTARY SCHOOL,Ulster,Public School,69,No,5,0,0,64,Yes,09/24/2016,68,1,Yes,Yes,11/02/2016,www.saugerties.k12.ny.us,621601060004,744 GLASCO TPKE,SAUGERTIES,NY,12477,11/10/2016,12/22/2016,"(41.848374, -74.099412)","744 GLASCO TPKE
SAUGERTIES, NY 12477
(42.04029245700008, -74.00001045399995)"
ROCHESTER CITY SCHOOLS,SCHOOL 10 DR WALTER COOPER ACADEMY,Monroe,Public School,18,No,17,0,0,3,Yes,10/10/2016,18,0,Yes,Yes,10/13/2016,rcsdk12.org,261600010010,353 Congress Avenue,ROCHESTER,NY,14619,01/03/2017,02/02/2017,"(43.161748, -77.620143)","353 Congress Avenue
ROCHESTER, NY 14619
(43.12907553400004, -77.64696144599998)"
NYC DOE,Q060,Queens,Public School,88,No,0,0,0,88,Yes,01/26/2017,87,1,Yes,Yes,02/27/2017,http://schools.nyc.gov/SchoolPortals/27/Q060/default.htm,Q060,91-02 88 AVENUE,Queens,NY,11421,02/28/2017,02/28/2017,"(40.749338, -73.789673)","91-02 88 AVENUE
Queens, NY 11421
(40.691969322000034, -73.85323688099999)"
POUGHKEEPSIE CITY SCHOOLS,GOV GEORGE CLINTON SCHOOL,Dutchess,Public School,30,No,0,0,0,30,Yes,09/18/2016,30,0,Yes,Yes,10/17/2016,www.poughkeepsieschools.org,131500010003,100 MONTGOMERY ST,POUGHKEEPSIE,NY,12601,01/31/2017,01/31/2017,"(41.686216, -73.840468)","100 MONTGOMERY ST
POUGHKEEPSIE, NY 12601
(41.69917935900003, -73.92645703099998)"
NYC DOE,Q470,Queens,Public School,127,No,0,0,0,127,Yes,02/11/2017,116,11,Yes,Yes,02/27/2017,No website for building,Q470,167-01 GOTHIC DRIVE,Queens,NY,11432,02/28/2017,02/28/2017,"(40.749338, -73.789673)","167-01 GOTHIC DRIVE
Queens, NY 11432
(40.713397265000026, -73.79713271199995)"
ROCHESTER CITY SCHOOLS,SCHOOL 67 JOSEPH C WILSON MAGNET HS COMMENCEMENT ACADEMY,Monroe,Public School,48,No,18,0,0,30,Yes,01/15/2017,47,1,Yes,Yes,01/15/2017,rcsdk12.org,261600010067,501 GENESEE ST,ROCHESTER,NY,14611,02/02/2017,02/02/2017,"(43.161748, -77.620143)","501 GENESEE ST
ROCHESTER, NY 14611
(43.14026666500007, -77.63606162999997)"
NYC DOE,R819,Richmond,Public School,4,No,0,0,0,4,Yes,12/21/2016,4,0,No,Yes,01/05/2017,No website for building,R819,15 FAIRFIELD STREET,Staten Island,NY,10308,01/20/2017,01/20/2017,"(40.566763, -74.148102)","15 FAIRFIELD STREET
Staten Island, NY 10308
(40.56391498200003, -74.15101770099994)"
NYC DOE,Q254,Queens,Public School,161,No,0,0,0,161,Yes,01/25/2017,155,6,Yes,Yes,02/08/2017,http://schools.nyc.gov/SchoolPortals/27/Q254/default.htm,Q254,84-40 101 STREET,Queens,NY,11418,02/09/2017,02/09/2017,"(40.749338, -73.789673)","84-40 101 STREET
Queens, NY 11418
(40.69748905600005, -73.84779424299995)"
RHINEBECK CENTRAL SCHOOL,RHINEBECK SHS,Dutchess,Public School,101,No,0,0,0,101,Yes,02/10/2017,101,0,No,Yes,02/10/2017,www.rhinebeckcsd.org,131801040001,45 NORTH PARK RD,RHINEBECK,NY,12572,10/11/2018,10/11/2018,"(41.686216, -73.840468)","45 NORTH PARK RD
RHINEBECK, NY 12572
(41.92538051100007, -73.90116950799995)"
NYC DOE,R818,Richmond,Public School,4,No,0,0,0,4,Yes,01/19/2017,4,0,No,Yes,02/01/2017,No website for building,R818,110 SHAFTER AVENUE,Staten Island,NY,10308,02/03/2017,02/03/2017,"(40.566763, -74.148102)","110 SHAFTER AVENUE
Staten Island, NY 10308
(40.55447615200006, -74.14802275399995)"
PORT WASHINGTON U F S,GUGGENHEIM ELEM SCHOOL,Nassau,Public School,43,No,40,0,0,3,Yes,09/05/2018,43,0,Yes,Yes,09/06/2018,portnet.org,280404030002,POPLAR PL,PT WASHINGTON,NY,11050,10/11/2018,10/11/2018,"(40.715749, -73.601185)","POPLAR PL
PT WASHINGTON, NY 11050
(40.84945167800004, -73.69720029099994)"
PORT CHESTER-RYE U F S,JOHN F KENNEDY SCHOOL,Westchester,Public School,23,No,0,0,0,23,Yes,09/17/2016,23,0,Yes,Yes,11/09/2016,www.portchesterschools.org,661904030003,40 OLIVIA ST,PORT CHESTER,NY,10573,10/02/2018,10/02/2018,"(41.039278, -73.805386)","40 OLIVIA ST
PORT CHESTER, NY 10573
(40.99841377000007, -73.67156109399997)"
NYC DOE,Q416,Queens,Public School,2,No,0,0,0,2,Yes,04/18/2017,2,0,No,Yes,04/20/2017,No website for building,Q416,57-00 223 STREET,Queens,NY,11364,04/21/2017,04/21/2017,"(40.749338, -73.789673)","57-00 223 STREET
Queens, NY 11364
(40.75238806200008, -73.75612830199998)"
NYC DOE,Q144,Queens,Public School,48,No,0,0,0,48,Yes,01/26/2017,45,3,Yes,Yes,02/07/2017,http://schools.nyc.gov/SchoolPortals/28/Q144/default.htm,Q144,93-02 69 AVENUE,Queens,NY,11375,02/08/2017,02/08/2017,"(40.749338, -73.789673)","93-02 69 AVENUE
Queens, NY 11375
(40.715189259000056, -73.85320226499994)"
NYC DOE,Q874,Queens,Public School,18,No,0,0,0,18,Yes,01/24/2017,17,1,Yes,Yes,02/07/2017,No website for building,Q874,9 POWER ROAD,Queens,NY,11693,02/08/2017,02/08/2017,"(40.749338, -73.789673)","9 POWER ROAD
Queens, NY 11693
(40.60642853100006, -73.82046717199995)"
NYC DOE,R011,Richmond,Public School,55,No,0,0,0,55,Yes,12/21/2016,51,4,Yes,Yes,01/12/2017,http://schools.nyc.gov/SchoolPortals/31/R011/default.htm,R011,50 JEFFERSON STREET,Staten Island,NY,10304,01/24/2017,01/24/2017,"(40.566763, -74.148102)","50 JEFFERSON STREET
Staten Island, NY 10304
(40.59061277300003, -74.09770466799995)"
SANDY CREEK CENTRAL SCHOOL,SANDY CREEK MS,Oswego,Public School,55,No,0,0,0,55,Yes,09/28/2016,54,1,Yes,Yes,11/14/2016,www.sccs.cnyric.org,461901040003,124 SALISBURY,SANDY CREEK,NY,13145,02/02/2017,02/02/2017,"(43.39123, -76.31133)","124 SALISBURY
SANDY CREEK, NY 13145
(43.64606206600007, -76.07914267499996)"
SMITHTOWN CENTRAL SCHOOL DISTRICT,BRANCH BROOK ELEM SCHOOL,Suffolk,Public School,31,No,31,0,0,0,Yes,01/26/2017,31,0,Yes,Yes,02/28/2017,www.smithtown.k12.ny.us,580801060015,15 Ridgely RD,SMITHTOWN,NY,11787,10/27/2018,10/27/2018,"(40.820237, -73.119032)","15 Ridgely RD
SMITHTOWN, NY 11787
(40.840848236000056, -73.17020589299995)"
ROCHESTER CITY SCHOOLS,SCHOOL 34 DR LOUIS A CERULLI,Monroe,Public School,27,No,24,0,0,7,Yes,10/17/2016,24,3,Yes,Yes,10/18/2016,rcsdk12.org,261600010034,530 LEXINGTON AVE,ROCHESTER,NY,14613,01/03/2017,01/03/2017,"(43.161748, -77.620143)","530 LEXINGTON AVE
ROCHESTER, NY 14613
(43.17932052000003, -77.64384146299994)"
PINE BUSH CENTRAL SCHOOL,PINE BUSH S H S,Orange,Public School,261,No,0,0,0,261,Yes,10/08/2016,234,27,Yes,Yes,11/14/2016,pinebushschools.org,440401060005,118 STATE RT 302,PINE BUSH,NY,12566,11/15/2016,11/15/2016,"(41.422459, -74.241929)","118 STATE RT 302
PINE BUSH, NY 12566
(41.60302496200006, -74.30563366099994)"
ROME CITY SCHOOLS,ROME FREE ACADEMY,Oneida,Public School,187,No,0,0,0,187,Yes,10/20/2016,187,0,No,Yes,12/13/2016,www.romecsd.org,411800010020,95 DART CIRCLE,ROME,NY,13440,10/10/2018,10/10/2018,"(43.149482, -75.361773)","95 DART CIRCLE
ROME, NY 13440
(43.20958272300004, -75.41334162099997)"
ROCHESTER CITY SCHOOLS,SCHOOL 95 EDISON CAREER & TECHNOLOGY HIGH SCHOOL,Monroe,Public School,34,No,9,0,0,20,Yes,12/19/2016,34,0,Yes,Yes,12/22/2016,rcsdk12.org,261600010095,655 COLFAX STREET,ROCHESTER,NY,14606,01/03/2017,01/03/2017,"(43.161748, -77.620143)","655 COLFAX STREET
ROCHESTER, NY 14606
(43.17778630300006, -77.66972767399994)"
ROCHESTER CITY SCHOOLS,SCHOOL 1163 ROCHESTER INTERNATIONAL ACADEMY,Monroe,Public School,33,No,22,0,0,13,Yes,12/19/2016,33,0,Yes,Yes,12/22/2016,rcsdk12.org,261600010104,1 EDGERTON PARK,ROCHESTER,NY,14608,01/03/2017,01/03/2017,"(43.161748, -77.620143)","1 EDGERTON PARK
ROCHESTER, NY 14608
(43.17030198900005, -77.63328918699995)"
NYC DOE,Q475,Queens,Public School,94,No,0,0,0,94,Yes,02/04/2017,90,4,Yes,Yes,02/23/2017,http://schools.nyc.gov/SchoolPortals/27/Q475/default.htm,Q475,89-30 114 STREET,Queens,NY,11418,02/27/2017,02/27/2017,"(40.749338, -73.789673)","89-30 114 STREET
Queens, NY 11418
(40.69564070100006, -73.83361360799995)"
NYC DOE,M098,New York,Public School,89,No,0,0,0,89,Yes,01/04/2017,88,1,Yes,Yes,01/12/2017,http://schools.nyc.gov/SchoolPortals/06/M098/default.htm,M098,512 WEST 212 STREET,Manhattan,NY,10034,01/24/2017,01/24/2017,"(40.726966, -74.005966)","512 WEST 212 STREET
Manhattan, NY 10034
(40.86802279300008, -73.91759154199997)"
RONDOUT VALLEY CENTRAL SCHOOL,MARBLETOWN ELEM SCHOOL,Ulster,Public School,95,No,0,0,0,95,Yes,09/15/2016,86,9,Yes,Yes,10/04/2016,www.rondout.k12.ny.us,620901060002,MARBLETOWN ELEM SCHOOL,ACCORD,NY,12404,12/07/2016,12/07/2016,"(41.848374, -74.099412)","MARBLETOWN ELEM SCHOOL
ACCORD, NY 12404
(41.785708500000055, -74.23396489999999)"
NYC DOE,Q131,Queens,Public School,66,No,0,0,0,66,Yes,01/25/2017,57,9,Yes,Yes,02/15/2017,http://schools.nyc.gov/SchoolPortals/29/Q131/default.htm,Q131,170-45 84 AVENUE,Queens,NY,11432,02/16/2017,02/16/2017,"(40.749338, -73.789673)","170-45 84 AVENUE
Queens, NY 11432
(40.71683275000004, -73.79409930599996)"
OWEGO APALACHIN CENTRAL SCHOOL,OWEGO APALACHIN MIDDLE SCHOOL,Tioga,Public School,120,No,0,0,0,120,Yes,10/19/2016,116,4,Yes,Yes,12/28/2016,OACSD.org,600601060006,ELM ST,OWEGO,NY,13827,07/13/2017,12/29/2016,"(42.120252, -76.29595)","ELM ST
OWEGO, NY 13827
(42.10298360200005, -76.26971191999996)"
NYC DOE,Q798,Queens,Public School,39,No,0,0,0,39,Yes,01/26/2017,31,8,Yes,Yes,03/08/2017,No website for building,Q798,34-12 36 AVENUE,Queens,NY,11106,03/09/2017,03/09/2017,"(40.749338, -73.789673)","34-12 36 AVENUE
Queens, NY 11106
(40.75515317600008, -73.92680533599997)"
ROCHESTER CITY SCHOOLS,SCHOOL 53 MONTESSORI ACADEMY,Monroe,Public School,73,No,55,0,0,18,Yes,12/05/2016,72,1,Yes,Yes,12/08/2016,rcsdk12.org,261600010053,950 NORTON ST,ROCHESTER,NY,14621,01/03/2017,01/03/2017,"(43.161748, -77.620143)","950 NORTON ST
ROCHESTER, NY 14621
(43.18695746800006, -77.59691226399997)"
PEMBROKE CENTRAL SCHOOL,PEMBROKE J S H S,Genesee,Public School,115,No,0,0,0,115,Yes,09/17/2016,105,10,Yes,Yes,10/11/2016,www.pembrokecsd.org,181302040002,RTES 5 + 77,CORFU,NY,14036,10/30/2018,10/24/2018,"(43.000121, -78.172679)","RTES 5 + 77
CORFU, NY 14036
(42.95234709500005, -78.30271778899998)"
NYC DOE,Q048,Queens,Public School,50,No,0,0,0,50,Yes,01/24/2017,45,5,Yes,Yes,02/09/2017,http://schools.nyc.gov/SchoolPortals/28/Q048/default.htm,Q048,155-02 108 AVENUE,Queens,NY,11433,02/10/2017,02/10/2017,"(40.749338, -73.789673)","155-02 108 AVENUE
Queens, NY 11433
(40.694228836000036, -73.79669027099999)"
NYC DOE,R023,Richmond,Public School,102,No,0,0,0,102,Yes,12/23/2016,93,9,Yes,Yes,01/09/2017,http://schools.nyc.gov/SchoolPortals/31/R023/default.htm,R023,30 NATICK STREET,Staten Island,NY,10306,01/23/2017,01/23/2017,"(40.566763, -74.148102)","30 NATICK STREET
Staten Island, NY 10306
(40.57112962000008, -74.13288723799997)"
NYC DOE,Q313,Queens,Public School,133,No,0,0,0,133,Yes,02/01/2017,132,1,Yes,Yes,02/06/2017,No website for building,Q313,45-45 42ND STREET,Queens,NY,11104,02/07/2017,02/07/2017,"(40.749338, -73.789673)","45-45 42ND STREET
Queens, NY 11104
(40.74258676900007, -73.92256001299995)"
NYC DOE,Q210,Queens,Public School,80,No,0,0,0,80,Yes,01/26/2017,79,1,Yes,Yes,02/10/2017,http://schools.nyc.gov/SchoolPortals/27/Q210/default.htm,Q210,93-11 101 AVENUE,Queens,NY,11416,02/13/2017,02/13/2017,"(40.749338, -73.789673)","93-11 101 AVENUE
Queens, NY 11416
(40.683938788000034, -73.84723156199993)"
NYC DOE,Q022,Queens,Public School,103,No,0,0,0,103,Yes,01/27/2017,91,12,Yes,Yes,02/17/2017,http://schools.nyc.gov/SchoolPortals/25/Q022/default.htm,Q022,153-33 SANFORD AVENUE,Queens,NY,11355,02/21/2017,02/21/2017,"(40.749338, -73.789673)","153-33 SANFORD AVENUE
Queens, NY 11355
(40.761367122000024, -73.81138925399995)"
OCEANSIDE UNION FREE SCHOOL,OCEANSIDE S H S,Nassau,Public School,49,No,30,0,0,19,Yes,01/14/2017,49,0,Yes,Yes,06/19/2017,Http://oceansideschools.org,280211030010,BROWER + SKILLMAN AVE,OCEANSIDE,NY,11572,10/12/2018,10/12/2018,"(40.715749, -73.601185)","BROWER + SKILLMAN AVE
OCEANSIDE, NY 11572
(40.631459869000025, -73.62556347999998)"
POTSDAM CENTRAL SCHOOL,POTSDAM S H S,Saint Lawrence,Public School,88,No,0,0,0,88,Yes,11/17/2010,74,8,Yes,Yes,03/08/2017,http://www.potsdam.k12.ny.us/high-school,512902060003,29 LEROY ST,POTSDAM,NY,13676,12/01/2016,09/27/2018,"(44.689468, -75.242045)","29 LEROY ST
POTSDAM, NY 13676
(44.67381792200007, -74.98137235599995)"
PENFIELD CENTRAL SCHOOL,BAY TRAIL MIDDLE SCHOOL,Monroe,Public School,36,No,34,0,0,0,Yes,06/06/2016,36,0,No,Yes,06/06/2016,http://www.penfield.edu/schoolnews.cfm?subpage=1998705,261201060008,1760 SCRIBNER RD,PENFIELD,NY,14526,09/28/2018,09/28/2018,"(43.161748, -77.620143)","1760 SCRIBNER RD
PENFIELD, NY 14526
(43.15627800000004, -77.48483528599996)"
NYC DOE,Q851,Queens,Public School,7,No,0,0,0,7,Yes,01/24/2017,7,0,No,Yes,02/08/2017,No website for building,Q851,218-01 116 AVENUE,Queens,NY,11411,02/09/2017,02/09/2017,"(40.749338, -73.789673)","218-01 116 AVENUE
Queens, NY 11411
(40.69720478800008, -73.74055157699996)"
ROCHESTER CITY SCHOOLS,SCHOOL  8 ROBERTO CLEMENTE,Monroe,Public School,74,No,59,0,0,15,Yes,10/10/2016,73,1,Yes,Yes,10/13/2016,rcsdk12.org,261600010008,1180 ST. PAUL ST,ROCHESTER,NY,14621,01/03/2017,01/03/2017,"(43.161748, -77.620143)","1180 ST. PAUL ST
ROCHESTER, NY 14621
(43.17686056000008, -77.62500438799998)"
NYC DOE,Q160,Queens,Public School,82,No,0,0,0,82,Yes,02/03/2017,79,3,Yes,Yes,02/24/2017,http://schools.nyc.gov/SchoolPortals/28/Q160/default.htm,Q160,109-59 INWOOD STREET,Queens,NY,11435,02/27/2017,02/27/2017,"(40.749338, -73.789673)","109-59 INWOOD STREET
Queens, NY 11435
(40.688171332000024, -73.80042387699996)"
NYC DOE,R446,Richmond,Public School,3,No,0,0,0,3,Yes,01/24/2017,3,0,No,Yes,02/03/2017,No website for building,R446,39 INNIS STREET,Staten Island,NY,10302,02/06/2017,02/06/2017,"(40.566763, -74.148102)","39 INNIS STREET
Staten Island, NY 10302
(40.633770850000076, -74.14235412099998)"
NYC DOE,Q994,Queens,Public School,8,No,0,0,0,8,Yes,01/25/2017,8,0,No,Yes,02/01/2017,No website for building,Q994,85-05 144 STREET,Queens,NY,11435,02/03/2017,02/03/2017,"(40.749338, -73.789673)","85-05 144 STREET
Queens, NY 11435
(40.709968530000026, -73.81250440799994)"
OGDENSBURG CITY SCHOOLS,J F KENNEDY SCHOOL,Saint Lawrence,Public School,165,No,68,0,0,97,Yes,10/13/2016,164,1,Yes,Yes,07/21/2017,http://www.ogdensburgk12.org/,512300010002,801-809 PARK ST,OGDENSBURG,NY,13669,12/29/2016,09/25/2018,"(44.689468, -75.242045)","801-809 PARK ST
OGDENSBURG, NY 13669
(44.69606022200003, -75.47509785499994)"
NYC DOE,Q125,Queens,Public School,105,No,0,0,0,105,Yes,01/31/2017,99,6,Yes,Yes,03/08/2017,http://schools.nyc.gov/SchoolPortals/24/Q125/default.htm,Q125,46-02 47 AVENUE,Queens,NY,11377,03/09/2017,03/09/2017,"(40.749338, -73.789673)","46-02 47 AVENUE
Queens, NY 11377
(40.74106864100003, -73.91862359799995)"
NYC DOE,Q067,Queens,Public School,101,No,0,0,0,101,Yes,01/27/2017,94,7,Yes,Yes,02/09/2017,http://schools.nyc.gov/SchoolPortals/26/Q067/default.htm,Q067,51-60 MARATHON PARKWAY,Queens,NY,11362,02/10/2017,02/10/2017,"(40.749338, -73.789673)","51-60 MARATHON PARKWAY
Queens, NY 11362
(40.76272567800004, -73.73373795299995)"
PORT CHESTER-RYE U F S,PORT CHESTER S H S,Westchester,Public School,21,No,0,0,0,21,Yes,10/07/2016,21,0,Yes,Yes,11/09/2016,www.Portchesterschools.org,661904030008,TAMARACK RD,PORT CHESTER,NY,10573,10/02/2018,10/02/2018,"(41.039278, -73.805386)","TAMARACK RD
PORT CHESTER, NY 10573
(41.01414489000007, -73.67922709999993)"
NYC DOE,M005,New York,Public School,161,No,0,0,0,161,Yes,01/06/2017,156,5,Yes,Yes,01/10/2017,http://schools.nyc.gov/SchoolPortals/06/M005/default.htm,M005,3703 TENTH AVENUE,Manhattan,NY,10034,01/23/2017,01/23/2017,"(40.726966, -74.005966)","3703 TENTH AVENUE
Manhattan, NY 10034
(40.859041621000074, -73.92276442899998)"
NYC DOE,Q056,Queens,Public School,89,No,0,0,0,89,Yes,01/24/2017,78,11,Yes,Yes,01/30/2017,http://schools.nyc.gov/SchoolPortals/27/Q056/default.htm,Q056,86-10 114 STREET,Queens,NY,11418,02/03/2017,02/03/2017,"(40.749338, -73.789673)","86-10 114 STREET
Queens, NY 11418
(40.69925658600005, -73.83539089999994)"
ORISKANY CENTRAL SCHOOL,ORISKANY J S H S,Oneida,Public School,90,No,80,0,0,0,Yes,06/14/2016,80,10,Yes,Yes,07/05/2016,www.oriskanycsd.org,412901040003,1313 UTICA ST,ORISKANY,NY,13424,11/16/2016,11/16/2016,"(43.149482, -75.361773)","1313 UTICA ST
ORISKANY, NY 13424
(43.160811988000034, -75.33948378699995)"
NYC DOE,Q956,Queens,Public School,4,No,0,0,0,4,Yes,01/26/2017,4,0,No,Yes,03/09/2017,No website for building,Q956,61-21 97 PLACE,Queens,NY,11374,03/10/2017,03/10/2017,"(40.749338, -73.789673)","61-21 97 PLACE
Queens, NY 11374
(40.73431040200006, -73.86156239899998)"
NYC DOE,Q435,Queens,Public School,189,No,0,0,0,189,Yes,02/11/2017,176,13,Yes,Yes,02/21/2017,http://schools.nyc.gov/SchoolPortals/26/Q435/default.htm,Q435,230-17 HILLSIDE AVENUE,Queens,NY,11427,02/22/2017,02/22/2017,"(40.749338, -73.789673)","230-17 HILLSIDE AVENUE
Queens, NY 11427
(40.73281042000008, -73.73965267899996)"
PLAINEDGE UFSD,EASTPLAIN SCHOOL,Nassau,Public School,29,No,29,0,0,0,Yes,06/04/2016,29,0,Yes,Yes,08/30/2016,WWW.Plainedgeschools.org,280518030002,NO. DELAWARE AVE,NO MASSAPEQUA,NY,11758,10/12/2018,10/12/2018,"(40.715749, -73.601185)","NO. DELAWARE AVE
NO MASSAPEQUA, NY 11758
(40.71041055000006, -73.46543602199995)"
PATCHOGUE-MEDFORD U F SCH,RIVER AVENUE SCHOOL,Suffolk,Public School,18,No,14,0,0,4,Yes,03/29/2017,18,0,Yes,Yes,04/06/2017,www.pmschools.org,580224030005,46 RIVER AVE,PATCHOGUE,NY,11772,10/12/2018,10/12/2018,"(40.820237, -73.119032)","46 RIVER AVE
PATCHOGUE, NY 11772
(40.763225473000034, -73.02280706899995)"
